date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:38	51788/51788	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbf0d0-ca4c%22	https://themewagon.github.io/UpConstruction/index.html	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/index.html	(from )
12:35:39	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226696a19c-239b%22	https://themewagon.github.io/robots.txt		(from )
12:35:39	491/491	---M--	200	added ('OK')	image/png	etag:%2263bbf0d0-1eb%22	https://themewagon.github.io/UpConstruction/assets/img/favicon.png	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/img/favicon.png	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:39	1738/1738	---M--	200	added ('OK')	image/png	etag:%2263bbf0d0-6ca%22	https://themewagon.github.io/UpConstruction/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/img/apple-touch-icon.png	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:39	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%2263bbf0d0-2f955%22	https://themewagon.github.io/UpConstruction/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:39	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%2263bbf0d0-17579%22	https://themewagon.github.io/UpConstruction/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:40	101894/101894	---M-Z	200	added ('OK')	text/css	etag:W/%2263bbf0d0-18e06%22	https://themewagon.github.io/UpConstruction/assets/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/vendor/fontawesome-free/css/all.min.css	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:40	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2263bbf0d0-65c5%22	https://themewagon.github.io/UpConstruction/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/vendor/aos/aos.css	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:40	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2263bbf0d0-35b5%22	https://themewagon.github.io/UpConstruction/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/vendor/glightbox/css/glightbox.min.css	(from https://themewagon.github.io/UpConstruction/index.html)
12:35:40	16470/16470	---M-Z	200	added ('OK')	text/css	etag:W/%2263bbf0d0-4056%22	https://themewagon.github.io/UpConstruction/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/SAI-CHARAN-SERVISES/themewagon.github.io/UpConstruction/assets/vendor/swiper/swiper-bundle.min.css	(from https://themewagon.github.io/UpConstruction/index.html)
